Chemical_class,SA.A_TSB_A,SA.A_TSB_B,SA.A_TSB_C,SA.A_TSB_D,SA.A_TSB_E,SA.B_TSB_A,SA.B_TSB_B,SA.B_TSB_C,SA.B_TSB_D,SA.B_TSB_E,SA.A_BHI_A,SA.A_BHI_B,SA.A_BHI_C,SA.A_BHI_D,SA.A_BHI_E,SA.B_BHI_A,SA.B_BHI_B,SA.B_BHI_C,SA.B_BHI_D,SA.B_BHI_E,SA.A_LB_A,SA.A_LB_B,SA.A_LB_C,SA.A_LB_D,SA.A_LB_E,SA.B_LB_A,SA.B_LB_B,SA.B_LB_C,SA.B_LB_D,SA.B_LB_E,PA.A_BHI_A,PA.A_BHI_B,PA.A_BHI_C,PA.A_BHI_D,PA.A_BHI_E,PA.B_BHI_A,PA.B_BHI_B,PA.B_BHI_C,PA.B_BHI_D,PA.B_BHI_E,PA.A_LB_A,PA.A_LB_B,PA.A_LB_C,PA.A_LB_D,PA.A_LB_E,PA.B_LB_A,PA.B_LB_B,PA.B_LB_C,PA.B_LB_D,PA.B_LB_E,PA.A_TSB_A,PA.A_TSB_B,PA.A_TSB_C,PA.A_TSB_D,PA.B_TSB_A,PA.B_TSB_B,PA.B_TSB_C,EC.A_BHI_A,EC.A_BHI_B,EC.A_BHI_C,EC.A_BHI_D,EC.B_BHI_A,EC.B_BHI_B,EC.B_BHI_C,EC.A_LB_A,EC.A_LB_B,EC.A_LB_C,EC.A_LB_D,EC.A_LB_E,EC.B_LB_A,EC.B_LB_B,EC.B_LB_C,EC.B_LB_D,EC.B_LB_E,EC.A_TSB_A,EC.A_TSB_B,EC.A_TSB_C,EC.A_TSB_D,EC.A_TSB_E,EC.B_TSB_A,EC.B_TSB_B,EC.B_TSB_C,EC.B_TSB_D,EC.B_TSB_E
Ketone,56603,0,85741,0,0,0,0,65954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328075,0,146266,0,0,173245,0,0,224725,290026,0,0,0,144220,0,88040,0,199717,0,131327,0,0,83664,182915,0,408380,252076,250529,348774,646981,351600,411137,388765,111779,169612,64568,71493,291645,244580,196334,94963,151307,205972,185920,111956,132704,1022779,151941,185916,352271,244700,363923
Alkane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,78229,128560,0,153234,0,0,0,0,0,0,265644,0,160587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcohol,3097686,2130908,2769590,5101478,2349861,2161779,2183192,3366604,5448175,6671788,3663531,908313,6978146,2969470,1670810,7108828,5059320,1473831,5346823,5210015,496920,1668938,2165426,1474080,1217896,6782307,6262223,7761468,7084113,13087905,8963819,5020894,11793571,13739133,12346889,10672383,9037455,10928654,9724620,11098959,4257835,13725691,2006588,896822,1243337,1592331,6970540,2274161,2006092,2050926,37125000,25630541,28478038,18337136,18573029,24462435,10710622,12137381,7723728,6210576,5653746,8341626,8328364,8357066,4505387,2548897,3497616,2622897,2269429,3384709,3232684,3357368,1312941,1084828,4976821,5003470,2399050,3934663,2243423,1928512,2047003,6497830,4141334,4078717
Ester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414750,259349,519476,270080,237442,322861,201412,445853,358783,283587,0,673230,411246,443795,89553,186653,178945,197864,106432,153090,1013976,922092,647846,409427,91195,114948,87884,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ketone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,60571,0,90067,0,0,0,0,0,277538,159405,0,109969,0,0,0,130510,85656,183690,66660,84463,53945,0,131925,88116,116106,204993,92508,108991,69789,0,79016,92671,228006,0,176833,0,0,174979,171949,170322,0,0,0,0,0,0,0,0,0,0,0,0
Alcohol,334841,153294,341899,86222,0,145857,151117,227917,97760,122040,225832,159944,158786,209463,80510,151643,144353,78843,130274,124215,0,60640,76661,76192,0,115518,90093,105557,127324,0,0,75599,220444,160189,92165,0,421872,704490,280708,357840,586549,0,0,0,0,0,0,100140,82100,132599,94665,138407,123534,81767,141355,71410,83352,715127,415206,407557,487632,476972,481816,446101,180008,63669,113874,0,0,85978,0,0,0,0,115357,78741,55845,74957,0,0,0,92340,68147,0
Fatty acid ethyl ester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301551,171424,254571,277327,347183,0,0,0,0,115156,99820,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ketone,375792,102975,173956,381264,233731,125300,64307,182778,619590,800563,4216736,2056879,769616,903640,1103952,1112605,663436,502028,568247,351127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155690,0,204783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203554,168148,118337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78080,80161,0,525825,0,0,0,52741,85445,0
Alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186787,85904,106202,121811,63082,0,0,163793,66071,118007,0,0,83980,79508,75315,0,0,51263,56793,0,0,0,0,0,58804,0,0
Fatty acid ethyl ester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139532,99188,50123,151978,65690,230084,0,299340,0,0,0,158021,0,0,0,0,0,0,0,0,590669,174814,153504,323499,173217,172688,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254736,237817,222587,167137,119002,125798,98575,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ketone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99765,136543,1245017,976709,2229916,280508,2654044,1902515,2056831,653072,499357,560505,159552,0,301572,1275136,198681,265616,381346,1766587,77440,174811,360272,463341,525712,524913,727805,308038,383685,394008,420686,2271616,1155205,1082152,106588,81508,85149,115864,78116,330785,436384,316796,376463,292752,352856,248134,156017,158088,75932,985092,617890,481673,610883,980973
Acid,4016234,1565576,1952847,11875584,11024381,2608354,2383959,3143060,16982921,21176351,3031784,1396969,1430945,3234400,1102412,1658255,1221426,872402,1587138,1107698,418770,371188,592075,474163,1692269,496592,368583,458677,433399,2426632,,,,,,,,,,,,,,,,,,,,,,,,,,,,5449509,2069148,3316273,4930272,5518148,7058046,6356903,800115,293287,265880,1458984,995169,546566,357739,177944,991493,1043984,2351610,2007913,641681,2911844,125680,2373104,2282520,8927089,6388137,14027578
Alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226327,243982,236940,919278,2173133,417596,2526340,177301,1341480,2038751,0,0,0,0,56849,373646,306951,198782,53306,422604,315708,364610,437056,428548,1285724,1297487,1136661,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrrole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616220,720171,767151,766601,862790,315631,443382,326505,431146,469015,389023,546083,213409,161968,103804,142532,408522,153817,83078,143921,296002,348566,361440,267344,142353,383895,154214,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrrole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596960,534705,699348,513983,709941,436851,520750,446231,371797,476178,0,391414,0,0,0,0,0,0,0,0,437807,501438,600925,438524,424489,621874,278470,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50895,57295,65646,0,79448,55187,54359,145400,99866,95894,112262,77569,63099,121836,274686,132490,206282,0,0,187563,182250,145681,0,0,127027,113605,67623,0,0,0,0,97887,80664,0
Acid,51090,0,0,111819,90520,55944,51321,91806,248716,364754,0,0,0,0,0,0,0,0,59939,58151,0,0,0,0,0,0,0,0,0,96723,,,,,,,,,,,,,,,,,,,,,,,,,,,,108830,0,0,122108,0,177595,144705,172459,59778,0,159338,194881,108434,119064,,230966,362007,0,0,0,0,0,0,0,0,0,0
Acid,76990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88915,91503,97916,0,0,0,0,245699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1303753,1124989,1238561,1910713,799527,1545013,1900921,181784,299078,314410,158548,106502,90957,112115,189796,0,0,1131862,1139646,547685,851829,508826,265324,558260,464549,1201031,0
Ketone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,105669,423357,653601,517587,332309,834807,1504377,1414962,1644906,997986,849044,290081,95115,352609,1257669,287829,178546,195093,1411966,0,95420,266974,586721,4396492,1447782,1031358,428336,623212,712079,529364,841414,590411,673916,257232,235580,287789,343124,322616,284966,447419,281528,326330,331717,432151,292152,239981,216947,152770,156741,299459,362678,303087,764794
Fatty acid ethyl ester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85303,129277,128608,133784,111623,81423,0,584398,324415,328561,470932,556478,296451,319697,254013,235434,323796,0,0,255229,305231,241323,0,0,179033,224753,131516,158388,342571,82607,130593,136519,162366,530396
Lactone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254746,163749,151718,145130,0,191311,140391,150201,115261,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatty acid ethyl ester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,173839,161042,128731,0,0,344949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52208,0,0,0,0,152418
Fatty acid ethyl ester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51900,101263,178266,125201,0,164633,261433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129213
Alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,119961,220303,822512,494295,458202,1265320,0,1475968,2030548,336517,161420,0,0,151796,482499,0,59911,0,384342,220455,327898,430422,617888,2800635,3287479,260136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201877,144622,74667,82691,0,119773,235221,360779,253951,376472
Acid,4007188,1691000,2140149,4678421,3219328,1719248,1800911,2082410,5123035,5887513,2634320,1868166,2294617,3609299,1607769,2005000,1935396,1464647,1916645,1770194,1351452,1194878,2197007,1680536,2095493,2072718,1410480,2007991,1746404,2891556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ketone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,70872,93940,103754,91673,89486,87201,159402,76070,62131,0,0,0,0,0,0,0,0,0,0,0
Alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120106,2260282,2407249,4553996,2479369,5542281,7740141,98723,489438,410418,148544,99315,136896,303533,729337,60950,0,0,1341923,752118,1124759,474789,410056,1118337,855428,2405144,4098619
Ketone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96559,303186,446725,357832,80690,348812,617095,302852,411519,519574,331798,559861,320352,835199,395577,327139,171292,125461,125475,222277,89118,222050,0,67510,69218,169862,975303
Fatty acid ethyl ester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,68203,123501,118849,0,0,171353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96187
Alcohol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100676,73312,90392,77499,0,84674,71006,73337,71048,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219638,202598,211215,386583,218444,229405,257087,122437,99484,136105,0,0,103548,172988,115781,0,0,185259,220256,134335,176598,100430,76521,125495,156776,165001,173580
Ketone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,62602,72073,146708,133733,187550,263572,174715,0,121447,109399,67823,99558,553094,439975,516248,362422,569141,0,0,284883,551104,1528228,1937240,1087800,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,70060,91450,90264,120597,231601,62303,0,96083,0,0,110355,194966,0,103267,0,0,0,0,0,0,0,52814,0,84957,226100
Aldehyde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,113303,111256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1087630,2533698,3621289,5051317,802253,3764377,8126177,723882,1293239,1683334,672139,1719069,639394,1323482,1198793,581729,242246,1734037,2010208,2075742,1582441,1758353,289615,749942,479315,2750809,8172616
Fatty acid ethyl ester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,144229,137887,0,308213,535396,0,0,0,0,0,73677,299615,146231,52637,246354,0,0,0,0,0,0,0,0,0,698476
Ketone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,68658,134147,179352,0,82496,254789,59160,82803,138988,91058,163012,60053,213434,94999,117138,135850,0,0,0,0,57182,0,0,0,0,382222
Fatty acid ethyl ester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,88404,119785,0,0,66340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aldehyde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,400513,652645,408288,0,57578,112673,0,0,91864,285335,184046,0,0,0,72630,67958,89948,64680,54145,0,0,0,0,0,0,0
Alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,133915,201090,314284,141209,206594,208765,448151,365451,183803,107442,0,0,0,0,0,0,0,0,0,0
Alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1119579,979951,1718402,2450605,166612,329919,752512,152145,286061,399067,448711,1084828,172360,470892,312473,216519,156417,851004,922978,593032,450711,843660,0,78672,84426,146349,635257
Alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,247622,303949,470038,1389615,1869692,0,138587,0,79475,,0,0,0,0,0,0,0,0,0,0
Alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061325,650859,1970524,4268126,64116,119065,301336,79080,112422,136299,1477460,1251665,0,70851,0,51688,1940003,850885,1183943,382201,390122,1033300,0,0,0,0,482026
Indole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10282706,106378505,112700686,93089962,95504755,111534573,43562718,64083889,76383368,84586604,77981995,85548553,72853935,87016160,77512251,82768482,61263721,88277609,91230943,109912287,89285823,82182776,60325589,107880324,72102392,85257546,97156549
